Class,Hull #,Ship Name,Unit Type,Class Name,MG,AA,MD,MS,CC,DF,TF,ARV,Class ID,ID,EW,SONAR,SSM Type,SSM Salvo Size,SSM Total,SAM Type,SAM Salvo Size,SAM Total,ASW Type,ASW Salvo Size,ASW Total,AST Type,AST Salvo Size,AST Total,HELOs,AIR RECON,AIR EW,AIR ASW,AIR EARLY WARNING
SSN,712,Atlanta,ship_submarine,Los Angeles,0,0,0,35,0,30,16,15,77,291,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
SSN,713,Houston,ship_submarine,Los Angeles,0,0,0,35,0,30,16,17,77,292,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
SSN,714,Norfolk,ship_submarine,Los Angeles,0,0,0,35,0,30,16,20,77,293,5,5,TOMAHAWK,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,25,0,0,0,0,0
SSN,649,Sunfish,ship_submarine,Sturgeon,0,0,0,30,0,30,22,0,78,294,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,652,Puffer,ship_submarine,Sturgeon,0,0,0,30,0,30,16,25,78,295,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,660,Sandlance,ship_submarine,Sturgeon,0,0,0,30,0,30,22,0,78,296,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,665,Guitarro,ship_submarine,Sturgeon,0,0,0,30,0,30,16,15,78,298,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,669,Sea Horse,ship_submarine,Sturgeon,0,0,0,30,0,30,16,14,78,299,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,670,Finback,ship_submarine,Sturgeon,0,0,0,30,0,30,16,12,78,300,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,681,Batfish,ship_submarine,Sturgeon,0,0,0,30,0,30,16,40,78,301,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,682,Tunny,ship_submarine,Sturgeon,0,0,0,30,0,30,16,40,78,302,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,684,Cavalla,ship_submarine,Sturgeon,0,0,0,30,0,30,16,40,78,303,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SSN,686,Rivers,ship_submarine,Sturgeon,0,0,0,30,0,30,16,40,78,304,4,4,HARPOON,4,4,-,-,-,SUBROC,-,8,MK48 TORP,4,15,0,0,0,0,0
SS,10,Odin,ship_submarine,Oberon,0,0,0,15,0,10,23,0,81,305,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,11,Orpheus,ship_submarine,Oberon,0,0,0,15,0,10,23,0,81,306,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,12,Olympus,ship_submarine,Oberon,0,0,0,15,0,10,23,0,81,307,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,14,Onslaught,ship_submarine,Oberon,0,0,0,15,0,10,23,0,81,308,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,15,Otter,ship_submarine,Oberon,0,0,0,15,0,10,23,0,81,309,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,16,Oracle,ship_submarine,Oberon,0,0,0,15,0,10,16,20,81,310,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,17,Ocelot,ship_submarine,Oberon,0,0,0,15,0,10,16,20,81,311,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,20,Opportune,ship_submarine,Oberon,0,0,0,15,0,10,16,20,81,312,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,21,Onyx,ship_submarine,Oberon,0,0,0,15,0,10,16,5,81,313,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
SS,07,Sea Lion,ship_submarine,Porpoise,0,0,0,15,0,10,16,5,81,314,4,3,-,-,-,-,-,-,-,-,-,TIGERFISH,8,24,0,0,0,0,0
TOTALS,,,,,,,,,,,,,,,,,,601,853,-,247,"2,568",-,53,727,-,379,"1,243",172,46,21,64,21
